player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
JordBr00,Brevin Jordan,TE,HOU,0,0,0,0,0,0,0,0,0.0,0,0,0,0,28,20,178,3,100,0,0,99,1
WrigBr01,Brock Wright,TE,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17,12,117,2,89,0,0,64,1
HopkBr01,Brycen Hopkins,TE,LAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,9,0,9,0,0,6,0
UzomC.00,C.J. Uzomah,TE,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,63,49,493,5,243,0,0,300,4
BratCa00,Cameron Brate,TE,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,57,30,245,4,150,0,0,81,3
CartCe00,Cethan Carter,TE,MIA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,16,0,16,0,0,8,0
WoerCh00,Charlie Woerner,TE,SFO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,5,52,0,49,0,0,9,0
HernCh00,Chris Herndon,TE,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,4,40,1,40,0,0,31,2
ManhCh00,Chris Manhertz,TE,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,6,71,1,71,0,0,26,0
MyarCh00,Chris Myarick,TE,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,3,17,1,16,0,0,8,2
McElCo00,Codey McElroy,TE,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
ParkCo02,Colby Parkinson,TE,SEA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,8,5,33,0,31,0,0,20,0
KmetCo00,Cole Kmet,TE,CHI,0,0,0,0,0,0,0,0,0.0,1,0,0,0,93,60,612,0,253,0,0,246,5
ThomCo03,Colin Thompson,TE,CAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
GoedDa00,Dallas Goedert,TE,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,76,56,830,4,326,0,0,386,5
SchuDa00,Dalton Schultz,TE,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,104,78,808,8,283,0,0,348,4
ArnoDa00,Dan Arnold,TE,CAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,52,35,408,0,162,1,0,188,2
BrowDa04,Daniel Brown,TE,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,29,0,24,0,0,22,0
HelmDa01,Daniel Helm,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,1,-1,0,-1,0,0,2,0
DaniDa02,Darrell Daniels,TE,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,1,0,0,0,0,0,1,1
FellDa01,Darren Fells,TE,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,4,43,0,32,0,0,27,0
WallDa01,Darren Waller,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,93,55,665,2,260,0,0,242,5
NjokDa00,David Njoku,TE,CLE,0,0,0,0,0,0,0,0,0.0,1,1,0,1,53,36,475,4,274,0,1,247,2
WellDa00,David Wells,TE,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
KnoxDa00,Dawson Knox,TE,BUF,0,0,0,0,0,0,0,0,0.0,0,4,0,0,71,49,587,9,285,0,0,277,4
HarrDe03,Demetrius Harris,TE,ARI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,3,10,0,10,0,0,13,0
YeldDe00,Deon Yelder,TE,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,2,0
CarrDe00,Derek Carrier,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,13,0,9,0,0,6,0
AsiaDe00,Devin Asiasi,TE,NWE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
DafnDo00,Dominique Dafney,TE,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,2,34,0,34,0,0,31,0
ParhDo00,Donald Parham,TE,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,27,20,190,3,133,0,0,135,2
SampDr00,Drew Sample,TE,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,11,81,0,57,0,0,82,1
SmytDu00,Durham Smythe,TE,MIA,0,0,0,0,0,0,0,0,0.0,2,3,0,2,41,34,357,0,205,0,0,160,1
EbroEr00,Eric Ebron,TE,PIT,0,0,0,0,0,0,0,0,0.0,1,1,1,1,18,12,84,1,61,0,0,21,1
SaubEr00,Eric Saubert,TE,DEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,12,8,47,1,35,0,0,29,1
TomlEr01,Eric Tomlinson,TE,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,7,0,7,0,0,4,0
WolfEt00,Ethan Wolf,TE,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,8,0,4,0,0,6,0
EngrEv00,Evan Engram,TE,NYG,0,0,0,0,0,0,0,0,0.0,1,-3,0,0,73,46,408,3,200,1,0,183,6
MoreFo00,Foster Moreau,TE,LVR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,44,30,373,3,223,0,0,189,4
GrifGa00,Garrett Griffin,TE,NOR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,4,39,0,23,0,0,27,0
SwaiGe00,Geoff Swaim,TE,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,40,31,210,3,131,0,0,139,1
KittGe00,George Kittle,TE,SFO,0,0,0,0,0,0,0,0,0.0,3,20,0,9,94,71,910,6,321,1,9,450,2
EverGe00,Gerald Everett,TE,SEA,0,0,0,0,0,0,0,0,0.0,3,20,0,13,63,48,478,4,243,2,5,249,3
BryaHa00,Harrison Bryant,TE,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,28,21,233,3,177,0,0,79,1
HursHa00,Hayden Hurst,TE,ATL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,31,26,221,3,134,1,0,89,0
HenrHu00,Hunter Henry,TE,NWE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,75,50,603,9,305,0,0,144,0
KampHu00,Hunter Kampmoyer,TE,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
LongHu00,Hunter Long,TE,MIA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,1,8,0,8,0,0,4,0
BuntIa00,Ian Bunting,TE,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThomIa00,Ian Thomas,TE,CAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,30,18,188,0,154,0,0,92,4
